PlayerName,Score,Team
Amon-Ra St. Brown,4.3,Team Bryler
Kyren Williams,14.4,Team Bryler
De'Von Achane,23.0,Team Bryler
Michael Pittman Jr.,7.1,Team Bryler
Deebo Samuel Sr.,18.7,Team Bryler
Kyler Murray,14.18,Team Bryler
Dallas Goedert,7.1,Team Bryler
Steelers D/ST,13.0,Team Bryler
Greg Zuerlein,1.0,Team Bryler
Breece Hall,18.3,Easy Breecey 
Garrett Wilson,12.0,Easy Breecey 
Marvin Harrison Jr.,1.4,Easy Breecey 
Jalen Hurts,17.42,Easy Breecey 
Sam LaPorta,8.5,Easy Breecey 
George Pickens,13.5,Easy Breecey 
Tony Pollard,18.4,Easy Breecey 
Brandon Aubrey,21.0,Easy Breecey 
Bengals D/ST,5.0,Easy Breecey 
Bijan Robinson,16.1,Caroloni
Josh Allen,31.18,Caroloni
DK Metcalf,5.9,Caroloni
James Cook,13.3,Caroloni
Calvin Ridley,8.0,Caroloni
George Kittle,8.0,Caroloni
Terry McLaurin,3.7,Caroloni
Cowboys D/ST,20.0,Caroloni
Jake Elliott,10.0,Caroloni
Christian McCaffrey,0.0,The Real Joanna
Travis Etienne Jr.,11.9,The Real Joanna
Mike Evans,23.1,The Real Joanna
Brandon Aiyuk,4.8,The Real Joanna
Zay Flowers,11.1,The Real Joanna
Evan Engram,1.5,The Real Joanna
Brock Purdy,10.34,The Real Joanna
Saints D/ST,19.0,The Real Joanna
Jake Bates,8.0,The Real Joanna
Ja'Marr Chase,12.2,Jakobi and Meyers Esq.
Isiah Pacheco,15.8,Jakobi and Meyers Esq.
Drake London,3.5,Jakobi and Meyers Esq.
Patrick Mahomes,15.14,Jakobi and Meyers Esq.
D'Andre Swift,5.0,Jakobi and Meyers Esq.
Trey McBride,8.0,Jakobi and Meyers Esq.
Diontae Johnson,3.9,Jakobi and Meyers Esq.
Ravens D/ST,3.0,Jakobi and Meyers Esq.
Younghoe Koo,4.0,Jakobi and Meyers Esq.
CeeDee Lamb,13.6,Team Dorace
Derrick Henry,10.6,Team Dorace
Chris Olave,3.1,Team Dorace
Lamar Jackson,25.12,Team Dorace
DeVonta Smith,15.4,Team Dorace
Rhamondre Stevenson,21.6,Team Dorace
David Njoku,8.4,Team Dorace
Browns D/ST,5.0,Team Dorace
Harrison Butker,9.0,Team Dorace
Justin Jefferson,15.9,Slandr
Jahmyr Gibbs,17.4,Slandr
Nico Collins,17.7,Slandr
Josh Jacobs,12.4,Slandr
DJ Moore,10.0,Slandr
Mark Andrews,3.4,Slandr
Jordan Love,17.4,Slandr
49ers D/ST,8.0,Slandr
Justin Tucker,7.0,Slandr
Jonathan Taylor,10.8,Dradeline
A.J. Brown,23.9,Dradeline
Rachaad White,16.6,Dradeline
Alvin Kamara,22.0,Dradeline
Jaylen Waddle,16.2,Dradeline
Dalton Kincaid,2.1,Dradeline
Dak Prescott,11.46,Dradeline
Dolphins D/ST,10.0,Dradeline
Jake Moody,26.0,Dradeline
Tyreek Hill,27.0,Team Jabbython
Travis Kelce,6.4,Team Jabbython
Davante Adams,10.9,Team Jabbython
Cooper Kupp,32.0,Team Jabbython
Kenneth Walker III,18.9,Team Jabbython
C.J. Stroud,18.66,Team Jabbython
James Conner,19.3,Team Jabbython
Jets D/ST,-1.0,Team Jabbython
Evan McPherson,6.0,Team Jabbython
Saquon Barkley,33.2,Turd Ferguson
Puka Nacua,8.2,Turd Ferguson
Malik Nabers,11.6,Turd Ferguson
Joe Mixon,26.8,Turd Ferguson
Rashee Rice,17.3,Turd Ferguson
Jayden Daniels,28.16,Turd Ferguson
Jake Ferguson,4.5,Turd Ferguson
Ka'imi Fairbairn,17.0,Turd Ferguson
Vikings D/ST,22.0,Turd Ferguson
