PlayerName,Score,Team,SlotPosition
Amon-Ra St. Brown,4.3,Team Bryler,WR
Kyren Williams,14.4,Team Bryler,RB
De'Von Achane,23.0,Team Bryler,RB
Michael Pittman Jr.,7.1,Team Bryler,WR
Deebo Samuel Sr.,18.7,Team Bryler,RB/WR/TE
Kyler Murray,14.18,Team Bryler,QB
Tank Dell,8.9,Team Bryler,BE
Keenan Allen,6.9,Team Bryler,BE
Jaylen Warren,4.0,Team Bryler,BE
Jordan Addison,6.5,Team Bryler,BE
Ezekiel Elliott,12.9,Team Bryler,BE
Dallas Goedert,7.1,Team Bryler,TE
Justin Herbert,10.36,Team Bryler,BE
Tyler Conklin,1.6,Team Bryler,BE
Steelers D/ST,13.0,Team Bryler,D/ST
Greg Zuerlein,1.0,Team Bryler,K
Breece Hall,18.3,Easy Breecey ,RB
Garrett Wilson,12.0,Easy Breecey ,WR
Marvin Harrison Jr.,1.4,Easy Breecey ,WR
Jalen Hurts,17.42,Easy Breecey ,QB
Sam LaPorta,8.5,Easy Breecey ,TE
George Pickens,13.5,Easy Breecey ,RB/WR/TE
Stefon Diggs,21.9,Easy Breecey ,BE
Tony Pollard,18.4,Easy Breecey ,RB
Christian Watson,10.3,Easy Breecey ,BE
Devin Singletary,9.2,Easy Breecey ,BE
Jonathon Brooks,0.0,Easy Breecey ,IR
Brandon Aubrey,21.0,Easy Breecey ,K
Khalil Shakir,13.2,Easy Breecey ,BE
Dalton Schultz,4.6,Easy Breecey ,BE
Bengals D/ST,5.0,Easy Breecey ,D/ST
Ty Chandler,7.2,Easy Breecey ,BE
Jared Goff,12.38,Easy Breecey ,BE
Bijan Robinson,16.1,Caroloni,RB
Josh Allen,31.18,Caroloni,QB
DK Metcalf,5.9,Caroloni,WR
James Cook,13.3,Caroloni,RB
Calvin Ridley,8.0,Caroloni,WR
Joe Burrow,8.06,Caroloni,BE
George Kittle,8.0,Caroloni,TE
Terry McLaurin,3.7,Caroloni,RB/WR/TE
Courtland Sutton,7.8,Caroloni,BE
Cowboys D/ST,20.0,Caroloni,D/ST
Jake Elliott,10.0,Caroloni,K
Jerry Jeudy,11.5,Caroloni,BE
Tyler Lockett,13.7,Caroloni,BE
Adam Thielen,7.9,Caroloni,BE
Jameson Williams,25.4,Caroloni,BE
Antonio Gibson,1.8,Caroloni,BE
Christian McCaffrey,0.0,The Real Joanna,RB
Travis Etienne Jr.,11.9,The Real Joanna,RB
Mike Evans,23.1,The Real Joanna,WR
Brandon Aiyuk,4.8,The Real Joanna,WR
Zay Flowers,11.1,The Real Joanna,RB/WR/TE
Chris Godwin,22.3,The Real Joanna,BE
Evan Engram,1.5,The Real Joanna,TE
Brian Robinson Jr.,17.9,The Real Joanna,BE
Brock Purdy,10.34,The Real Joanna,QB
Chase Brown,5.3,The Real Joanna,BE
Keon Coleman,9.1,The Real Joanna,BE
T.J. Hockenson,0.0,The Real Joanna,IR
Chuba Hubbard,1.4,The Real Joanna,BE
Saints D/ST,19.0,The Real Joanna,D/ST
DeMario Douglas,3.2,The Real Joanna,BE
Jake Bates,8.0,The Real Joanna,K
Bucky Irving,9.6,The Real Joanna,BE
Ja'Marr Chase,12.2,Jakobi and Meyers Esq.,WR
Isiah Pacheco,15.8,Jakobi and Meyers Esq.,RB
Drake London,3.5,Jakobi and Meyers Esq.,WR
Patrick Mahomes,15.14,Jakobi and Meyers Esq.,QB
D'Andre Swift,5.0,Jakobi and Meyers Esq.,RB
Trey McBride,8.0,Jakobi and Meyers Esq.,TE
Diontae Johnson,3.9,Jakobi and Meyers Esq.,RB/WR/TE
Zamir White,4.6,Jakobi and Meyers Esq.,BE
Tyjae Spears,7.2,Jakobi and Meyers Esq.,BE
Ladd McConkey,14.9,Jakobi and Meyers Esq.,BE
Jakobi Meyers,9.4,Jakobi and Meyers Esq.,BE
Kirk Cousins,6.2,Jakobi and Meyers Esq.,BE
Pat Freiermuth,6.7,Jakobi and Meyers Esq.,BE
Ravens D/ST,3.0,Jakobi and Meyers Esq.,D/ST
Younghoe Koo,4.0,Jakobi and Meyers Esq.,K
Adonai Mitchell,1.2,Jakobi and Meyers Esq.,BE
CeeDee Lamb,13.6,Team Dorace,WR
Derrick Henry,10.6,Team Dorace,RB
Chris Olave,3.1,Team Dorace,WR
Lamar Jackson,25.12,Team Dorace,QB
DeVonta Smith,15.4,Team Dorace,RB/WR/TE
Rhamondre Stevenson,21.6,Team Dorace,RB
Amari Cooper,3.6,Team Dorace,BE
Jaxon Smith-Njigba,3.9,Team Dorace,BE
David Njoku,8.4,Team Dorace,TE
Raheem Mostert,3.9,Team Dorace,BE
Nick Chubb,0.0,Team Dorace,IR
Gus Edwards,3.8,Team Dorace,BE
DeAndre Hopkins,1.8,Team Dorace,BE
Browns D/ST,5.0,Team Dorace,D/ST
Harrison Butker,9.0,Team Dorace,K
Trevor Lawrence,11.28,Team Dorace,BE
Curtis Samuel,3.5,Team Dorace,BE
